bets,hits,hit_rate,roi,profit,track,feature_type,threshold,train_ratio
119,52,0.4369747899159664,0.8750700280112045,-1486.666666666666,kawasaki,combo,0.03,0.6
87,38,0.4367816091954023,0.8287356321839079,-1490.000000000001,kawasaki,combo,0.03,0.7
129,62,0.4806201550387597,0.8470284237726099,-1973.3333333333321,kawasaki,combo,0.05,0.5
99,44,0.4444444444444444,0.9164983164983164,-826.6666666666679,kawasaki,combo,0.05,0.6
71,32,0.4507042253521127,0.8981220657276995,-723.3333333333339,kawasaki,combo,0.05,0.7
100,49,0.49,0.8726666666666666,-1273.333333333334,kawasaki,combo,0.07,0.5
83,41,0.4939759036144578,1.0244979919678714,203.33333333333212,kawasaki,combo,0.07,0.6
63,29,0.4603174603174603,0.9375661375661375,-393.33333333333394,kawasaki,combo,0.07,0.7
68,37,0.5441176470588235,0.8857843137254903,-776.6666666666661,kawasaki,combo,0.1,0.5
63,32,0.5079365079365079,0.8862433862433862,-716.666666666667,kawasaki,combo,0.1,0.6
42,20,0.47619047619047616,1.0388888888888888,163.33333333333303,kawasaki,combo,0.1,0.7
